Id,Category
0,5
1,1
2,0
3,3
4,9
5,10
6,3
7,6
8,1
9,6
10,3
11,1
12,0
13,6
14,3
15,3
16,2
17,0
18,9
19,9
20,2
21,9
22,4
23,6
24,2
25,7
26,4
27,2
28,3
29,6
30,1
31,4
32,0
33,1
34,8
35,10
36,7
37,10
38,10
39,7
40,4
41,1
42,1
43,7
44,0
45,6
46,3
47,10
48,1
49,0
50,3
51,6
52,10
53,10
54,10
55,10
56,5
57,10
58,6
59,10
60,4
61,4
62,1
63,8
64,2
65,3
66,7
67,3
68,8
69,1
70,1
71,9
72,6
73,10
74,7
75,1
76,3
77,1
78,3
79,8
80,7
81,6
82,3
83,10
84,0
85,10
86,0
87,1
88,1
89,9
90,10
91,7
92,6
93,9
94,7
95,7
96,6
97,7
98,4
99,5
100,5
101,9
102,3
103,10
104,0
105,7
106,7
107,2
108,5
109,1
110,3
111,1
112,9
113,1
114,1
115,7
116,10
117,8
118,0
119,7
120,7
121,9
122,9
123,2
124,3
125,7
126,10
127,3
128,1
129,1
130,1
131,8
132,6
133,7
134,3
135,3
136,10
137,1
138,3
139,10
140,0
141,9
142,1
143,3
144,7
145,6
146,3
147,9
148,10
149,9
150,3
151,3
152,10
153,3
154,7
155,7
156,3
157,0
158,1
159,0
160,3
161,6
162,3
163,3
164,1
165,3
166,8
167,2
168,3
169,9
170,1
171,1
172,7
173,1
174,8
175,1
176,3
177,7
178,3
179,5
180,1
181,10
182,7
183,6
184,1
185,2
186,2
187,0
188,9
189,9
190,7
191,10
192,10
193,5
194,8
195,3
196,1
197,7
198,6
199,0
200,1
201,0
202,6
203,3
204,3
205,8
206,9
207,7
208,8
209,6
210,0
211,3
212,1
213,6
214,9
215,5
216,10
217,10
218,10
219,9
220,7
221,7
222,10
223,3
224,1
225,3
226,8
227,7
228,7
229,9
230,1
231,6
232,0
233,3
234,3
235,5
236,3
237,0
238,1
239,7
240,9
241,7
242,1
243,0
244,9
245,2
246,1
247,7
248,3
249,3
250,8
251,1
252,1
253,9
254,6
255,7
256,0
257,7
258,8
259,6
260,8
261,1
262,8
263,4
264,6
265,0
266,1
267,0
268,5
269,0
270,7
271,10
272,5
273,3
274,7
275,3
276,1
277,8
278,1
279,10
280,3
281,10
282,3
283,1
284,1
285,1
286,9
287,8
288,10
289,7
290,10
291,5
292,10
293,0
294,7
295,7
296,1
297,1
298,5
299,8
300,1
301,3
302,1
303,1
304,1
305,10
306,1
307,7
308,7
309,1
310,1
311,4
312,6
313,9
314,10
315,1
316,0
317,5
318,1
319,9
320,6
321,0
322,2
323,3
324,8
325,7
326,1
327,3
328,3
329,3
330,7
331,10
332,7
333,6
334,10
335,1
336,7
337,1
338,0
339,0
340,9
341,9
342,8
343,7
344,3
345,7
346,9
347,1
348,7
349,4
350,2
351,6
352,10
353,7
354,4
355,2
356,5
357,0
358,1
359,8
360,10
361,6
362,6
363,1
364,3
365,4
366,1
367,0
368,6
369,6
370,7
371,7
372,1
373,7
374,0
375,8
376,0
377,3
378,8
379,0
380,8
381,1
382,7
383,8
384,7
385,3
386,9
387,9
388,8
389,9
390,3
391,8
392,1
393,10
394,8
395,3
396,5
397,10
398,7
399,6
400,3
401,1
402,1
403,6
404,10
405,6
406,3
407,4
408,3
409,1
410,7
411,7
412,3
413,5
414,6
415,1
416,1
417,7
418,3
419,7
420,5
421,9
422,1
423,0
424,7
425,6
426,5
427,7
428,8
429,7
430,6
431,0
432,8
433,3
434,1
435,2
436,6
437,4
438,6
439,8
440,2
441,10
442,7
443,1
444,6
445,8
446,5
447,8
448,9
449,0
450,10
451,7
452,1
453,0
454,3
455,3
456,0
457,7
458,10
459,7
460,1
461,4
462,1
463,7
464,3
465,3
466,3
467,3
468,0
469,9
470,5
471,0
472,1
473,8
474,1
475,8
476,2
477,8
478,3
479,7
480,7
481,4
482,5
483,9
484,9
485,7
486,6
487,7
488,7
489,7
490,1
491,7
492,1
493,7
494,10
495,1
496,7
497,0
498,1
499,2
500,1
501,8
502,10
503,1
504,1
505,8
506,0
507,1
508,9
509,9
510,9
511,3
512,3
513,3
514,0
515,2
516,6
517,8
518,6
519,10
520,6
521,9
522,7
523,8
524,10
525,10
526,3
527,1
528,7
529,6
530,2
531,7
532,10
533,7
534,6
535,3
536,6
537,6
538,7
539,3
540,3
541,8
542,9
543,6
544,8
545,0
546,0
547,0
548,8
549,3
550,10
551,7
552,7
553,9
554,1
555,0
556,1
557,7
558,9
559,10
560,5
561,10
562,6
563,0
564,7
565,7
566,1
567,9
568,10
569,5
570,1
571,3
572,6
573,3
574,1
575,3
576,9
577,10
578,10
579,1
580,3
581,3
582,10
583,4
584,5
585,1
586,0
587,7
588,1
589,6
590,5
591,1
592,3
593,10
594,0
595,3
596,10
597,7
598,10
599,4
600,6
601,1
602,7
603,5
604,10
605,7
606,3
607,1
608,10
609,3
610,3
611,9
612,7
613,3
614,5
615,6
616,7
617,4
618,6
619,1
620,9
621,10
622,1
623,1
624,9
625,0
626,9
627,3
628,6
629,1
630,0
631,9
632,10
633,7
634,9
635,1
636,1
637,3
638,7
639,0
640,8
641,0
642,3
643,9
644,1
645,2
646,3
647,6
648,5
649,7
650,1
651,8
652,10
653,8
654,10
655,0
656,9
657,2
658,1
659,10
660,1
661,3
662,0
663,2
664,0
665,6
666,3
667,8
668,7
669,8
670,6
671,1
672,3
673,2
674,1
675,9
676,0
677,6
678,0
679,0
680,1
681,3
682,1
683,10
684,5
685,5
686,1
687,9
688,6
689,8
690,6
691,0
692,10
693,7
694,6
695,7
696,5
697,1
698,0
699,0
700,2
701,8
702,1
703,3
704,7
705,6
706,4
707,7
708,7
709,10
710,1
711,3
712,6
713,4
714,3
715,6
716,3
717,3
718,1
719,6
720,8
721,5
722,2
723,3
724,3
725,10
726,3
727,0
728,4
729,2
730,9
731,7
732,3
733,2
734,2
735,2
736,0
737,4
738,7
739,9
740,1
741,7
742,9
743,6
744,10
745,3
746,7
747,0
748,7
749,10
750,2
751,1
752,7
753,1
754,2
755,7
756,5
757,7
758,1
759,3
760,7
761,4
762,3
763,5
764,0
765,9
766,6
767,6
768,3
769,3
770,6
771,9
772,6
773,3
774,6
775,3
776,5
777,9
778,1
779,3
780,1
781,7
782,9
783,10
784,6
785,8
786,7
787,1
788,7
789,9
790,1
791,5
792,3
793,10
794,5
795,1
796,1
797,6
798,1
799,9
800,6
801,9
802,7
803,0
804,1
805,3
806,10
807,7
808,6
809,10
810,6
811,10
812,8
813,1
814,2
815,6
816,6
817,1
818,10
819,4
820,3
821,1
822,3
823,0
824,10
825,9
826,5
827,7
828,9
829,6
830,1
831,9
832,1
833,5
834,3
835,1
836,0
837,2
838,7
839,1
840,9
841,7
842,3
843,9
844,3
845,7
846,0
847,1
848,1
849,7
850,5
851,6
852,6
853,8
854,7
855,1
856,10
857,10
858,7
859,6
860,3
861,0
862,1
863,6
864,3
865,1
866,1
867,1
868,9
869,10
870,3
871,10
872,9
873,5
874,2
875,3
876,3
877,3
878,10
879,0
880,10
881,5
882,3
883,5
884,10
885,9
886,7
887,1
888,8
889,6
890,3
891,5
892,10
893,1
894,4
895,1
896,2
897,7
898,0
899,3
900,6
901,0
902,2
903,7
904,3
905,6
906,2
907,10
908,9
909,6
910,1
911,5
912,7
913,3
914,9
915,7
916,0
917,9
918,7
919,1
920,7
921,7
922,10
923,5
924,6
925,3
926,8
927,3
928,5
929,0
930,6
931,3
932,5
933,8
934,7
935,1
936,0
937,3
938,3
939,9
940,9
941,9
942,0
943,9
944,3
945,7
946,5
947,8
948,7
949,6
950,8
951,10
952,4
953,6
