id,class
0,2
1,1
2,0
3,4
4,3
5,4
6,3
7,0
8,0
9,2
10,4
11,1
12,2
13,0
14,0
15,1
16,3
17,0
18,4
19,2
20,1
21,3
22,2
23,0
24,4
25,3
26,3
27,2
28,4
29,0
30,2
31,3
32,0
33,4
34,1
35,0
36,4
37,1
38,2
39,3
40,0
41,3
42,1
43,2
44,4
45,4
46,1
47,3
48,2
49,0
50,4
51,0
52,1
53,3
54,2
55,4
56,0
57,1
58,2
59,3
60,2
61,3
62,4
63,1
64,0
65,0
66,4
67,2
68,3
69,1
70,3
71,0
72,1
73,4
74,3
75,1
76,3
77,4
78,0
79,2
80,3
81,4
82,2
83,0
84,1
85,2
86,4
87,1
88,3
89,0
90,0
91,2
92,4
93,1
94,3
95,4
96,2
97,0
98,1
99,3
100,4
101,0
102,3
103,2
104,1
105,1
106,4
107,4
108,3
109,2
110,4
111,0
112,3
113,2
114,1
115,0
116,1
117,3
118,4
119,3
120,2
121,1
122,3
123,0
124,4
125,3
126,4
127,1
128,2
129,0
130,1
131,4
132,2
133,0
134,3
135,1
136,0
137,4
138,2
139,3
140,0
141,2
142,4
143,1
144,3
145,1
146,0
147,4
148,2
149,0
150,3
151,2
152,1
153,1
154,0
155,0
156,1
157,4
158,0
159,3
160,2
161,4
162,3
163,1
164,0
165,4
166,2
167,3
168,1
169,0
170,0
171,4
172,1
173,2
174,3
175,1
176,4
177,2
178,3
179,0
180,2
181,1
182,4
183,3
184,0
185,2
186,1
187,0
188,4
189,3
190,3
191,0
192,1
193,2
194,0
195,2
196,3
197,0
198,4
199,1
200,1
201,2
202,3
203,4
204,0
205,1
206,0
207,4
208,2
209,3
210,2
211,4
212,3
213,1
214,0
215,2
216,1
217,4
218,3
219,0
220,3
221,0
222,2
223,1
224,4
225,4
226,3
227,1
228,4
229,2
230,3
231,1
232,2
233,0
234,4
235,2
236,0
237,1
238,3
239,4
240,0
241,1
242,4
243,3
244,2
245,4
246,1
247,0
248,3
249,0
250,3
251,2
252,0
253,4
254,1
255,1
256,0
257,4
258,3
259,2
260,1
261,4
262,0
263,3
264,2
265,2
266,1
267,4
268,0
269,3
270,1
271,2
272,0
273,4
274,3
275,3
276,2
277,4
278,0
279,1
280,3
281,1
282,4
283,2
284,4
285,2
286,0
287,4
288,1
289,3
290,0
291,1
292,4
293,2
294,3
295,1
296,4
297,4
298,2
299,0
300,3
301,0
302,4
303,1
304,1
305,2
306,3
307,4
308,1
309,0
310,4
311,4
312,4
313,1
314,2
315,1
316,3
317,2
318,4
319,0
320,1
321,2
322,3
323,0
324,4
325,4
326,3
327,0
328,2
329,1
330,0
331,4
332,4
333,2
334,3
335,4
336,1
337,3
338,0
339,2
340,3
341,2
342,0
343,1
344,4
345,1
346,3
347,0
348,4
349,2
350,3
351,0
352,4
353,1
354,2
355,4
356,1
357,0
358,3
359,3
360,1
361,4
362,0
363,2
364,3
365,0
366,3
367,4
368,2
369,1
370,4
371,0
372,2
373,1
374,4
375,3
376,1
377,0
378,4
379,0
380,0
381,1
382,4
383,2
384,2
385,2
386,3
387,4
388,0
389,1
390,1
391,4
392,3
393,0
394,1
395,0
396,2
397,1
398,3
399,4
400,4
401,0
402,1
403,3
404,2
405,0
406,4
407,3
408,2
409,0
410,0
411,1
412,3
413,4
414,2
415,2
416,1
417,3
418,0
419,4
420,1
421,4
422,2
423,3
424,0
425,4
426,2
427,0
428,1
429,3
430,0
431,2
432,1
433,4
434,3
435,2
436,4
437,1
438,3
439,0
440,0
441,2
442,4
443,3
444,1
445,0
446,4
447,0
448,3
449,1
450,1
451,3
452,3
453,2
454,0
455,3
456,0
457,4
458,1
459,2
460,0
461,4
462,3
463,0
464,2
465,4
466,0
467,1
468,2
469,3
470,2
471,3
472,0
473,4
474,1
475,4
476,2
477,1
478,3
479,0
480,2
481,4
482,1
483,3
484,0
485,1
486,2
487,0
488,4
489,3
490,4
491,0
492,2
493,1
494,2
495,4
496,0
497,3
498,1
499,2
500,1
501,3
502,0
503,2
504,4
505,4
506,2
507,1
508,0
509,2
510,3
511,0
512,1
513,2
514,4
515,0
516,4
517,2
518,3
519,4
520,4
521,0
522,2
523,3
524,1
525,2
526,3
527,0
528,1
529,2
530,0
531,1
532,2
533,4
534,3
535,4
536,3
537,0
538,2
539,1
540,1
541,0
542,4
543,2
544,3
545,4
546,2
547,1
548,0
549,4
550,1
551,3
552,2
553,0
554,4
555,2
556,0
557,4
558,3
559,1
560,3
561,0
562,1
563,4
564,2
565,3
566,0
567,1
568,4
569,2
570,2
571,0
572,0
573,3
574,0
575,2
576,4
577,1
578,0
579,3
580,0
581,3
582,2
583,1
584,4
585,4
586,2
587,0
588,1
589,3
590,4
591,1
592,2
593,3
594,0
595,1
596,2
597,3
598,2
599,4
600,1
601,4
602,0
603,1
604,3
605,2
606,4
607,0
608,1
609,3
610,1
611,0
612,2
613,3
614,4
615,0
616,2
617,3
618,1
619,4
620,3
621,2
622,0
623,1
624,4
625,3
626,2
627,4
628,0
629,1
630,2
631,1
632,3
633,0
634,4
635,2
636,4
637,0
638,1
639,3
640,4
641,3
642,0
643,1
644,2
645,1
646,2
647,0
648,3
649,4
650,0
651,3
652,4
653,1
654,2
655,2
656,4
657,1
658,0
659,3
660,3
661,2
662,0
663,1
664,4
665,3
666,1
667,2
668,0
669,3
670,0
671,3
672,1
673,2
674,4
675,2
676,4
677,1
678,0
679,0
680,2
681,1
682,0
683,3
684,4
685,1
686,4
687,2
688,3
689,0
690,4
691,2
692,3
693,0
694,1
695,1
696,3
697,2
698,4
699,0
700,2
701,4
702,1
703,3
704,0
705,4
706,1
707,2
708,0
709,3
710,0
711,1
712,4
713,3
714,1
715,3
716,4
717,0
718,2
719,4
720,1
721,0
722,0
723,3
724,2
725,3
726,1
727,0
728,2
729,0
730,4
